DD  MM YY HH MM SS NS Lat     EW       Lon  K1     K2     K3     K4     K5     K6     K7     K8     K9    K10    K11    K12    K13    K14    K15    K16    K17   Pres    Tpr    Hum    Thm   Tbrd  Ubat
29  7 10   4 41 33 N        0 E        0   7936   9858   5171   8074  13335   8977   8810  12104  10944   8944  10191   7164   7357   7176  10452  10010   7189      6      5      4      3      2  3.0
29  7 10   4 42 34 N        0 E        0   8005   9944   5220   8150  13453   9054   8887  12210  11043   9031  10285   7232   7420   7247  10558  10109   7264      6      5      4      3      2  3.0
29  7 10   4 43 35 N        0 E        0   8088  10044   5262   8214  13635   9146   9011  12331  11155   9115  10390   7331   7495   7322  10635  10208   7329      6      5      4      3      2  3.0
29  7 10   4 44 36 N        0 E        0   8023   9963   5224   8158  13557   9105   8951  12247  11068   9051  10331   7279   7452   7283  10578  10149   7285      6      5      4      3      2  3.0
29  7 10   4 45 37 N        0 E        0   8130  10070   5293   8274  13767   9257   9096  12411  11230   9195  10514   7391   7586   7409  10764  10328   7413      6      5      4      3      2  3.0
29  7 10   4 46 38 N        0 E        0      8     19     38     18     31      0     29      7      6      0      0      0      0      0      0      0      0      6      5      4      3      2  3.0
29  7 10   4 47 39 N        0 E        0     11     24     39     20     44      4     36     13      9      1      3      3      2      0    627     65     43      6      5      4      3      2  3.0
29  7 10   4 48 40 N        0 E        0      9     18     37     18     33      1     30      8      7      0      0      1      1      0      2      0      0      6      5      4      3      2  3.0
29  7 10   4 49 41 N        0 E        0      8     19     38     18     33      1     30      8      7      0      0      1      1      0      1      0      0      6      5      4      3      2  3.0
29  7 10   4 50 42 N        0 E        0      9     18     37     18     32      1     29      8      7      0      0      0      0      0      0      0      0      6      5      4      3      2  3.0
29  7 10   4 52  2 N        0 E        0   7865   9853   5145   8062  13622   9031   9132  12173  11021   8985  10258   7157   7410   7233  10520  10069   7254      6      5      4      3      2  3.0
29  7 10   4 53  2 N        0 E        0   7818   9646   5096   7972  13353   8987   8822  11998  10870   8910  10198   7073   7357   7178  10410   9999   7181      6      5      4      3      2  3.0
29  7 10   4 54  3 N        0 E        0   7863   9703   5113   7994  13401   8999   8870  12047  10903   8939  10232   7105   7381   7208  10448  10038   7211      6      5      4      3      2  3.0
29  7 10   4 55  4 N        0 E        0   7779   9599   5064   7932  13299   8949   8792  11945  10812   8871  10156   7041   7335   7160  10372   9965   7152      6      5      4      3      2  3.0
